user_id,avg_daily_sessions,avg_daily_events,avg_unique_apps,avg_night_ratio,avg_session_duration,avg_short_session_ratio,avg_top_app_ratio,avg_entropy,avg_reopening_index,avg_inter_session,std_daily_sessions,max_daily_sessions,days_monitored,escalation_rate,risk_label,risk_name
29,34.25,954.25,9.5,0.4263178351182149,361.3504370629371,0.05653096903096903,0.5118942263971381,1.4110730335406394,0.8251986525138727,36.44642916568789,8.770214744615247,44.0,4,0.691358024691358,2,HIGH
30,28.0,273.5,9.5,0.11545801526717557,168.77304964539007,0.09574468085106383,0.3629688018586127,1.7179597066512748,0.6047430830039526,23.697916666666664,35.35533905932738,53.0,2,1.0,1,MEDIUM
31,19.635416666666668,165.23958333333334,4.46875,0.07077667108744531,194.39467899326152,0.2592364815967259,0.5341204546244879,1.0866363567846935,0.7176489113308162,60.671225379835874,12.31953501486384,56.0,96,0.892570281124498,0,LOW
32,4.5,118.5,4.0,0.0,151.4206349206349,0.07142857142857142,0.6600274725274725,0.8651231879173521,0.6024976979742174,32.26145833333334,4.123105625617661,9.0,4,0.125,0,LOW
33,23.586206896551722,745.7931034482758,8.655172413793103,0.20711984468170375,195.25448228227876,0.2671882915166343,0.40208507988073083,1.6514805425271244,0.8352382323627958,58.21960006900088,9.937365421835588,42.0,29,1.0679205851619644,1,MEDIUM
34,18.0,147.5,8.5,0.12244897959183673,355.25,0.17142857142857143,0.2379591836734694,1.9393607953639505,0.5327868852459017,37.18944444444445,18.384776310850235,31.0,2,1.0,1,MEDIUM
35,9.333333333333334,52.666666666666664,5.666666666666667,0.09845077461269365,140.7777777777778,0.25,0.38710833262613975,1.450383845578011,0.4627039627039627,148.19883597883597,4.932882862316248,15.0,3,1.0,1,MEDIUM
36,50.857142857142854,1073.5714285714287,12.285714285714286,0.3104609575853074,236.09216674203398,0.30402937948526354,0.309100532462399,1.9264166719824662,0.783315762663369,29.088879581945406,12.212405870378577,63.0,7,1.0419463087248322,2,HIGH
37,14.875,102.91666666666667,6.958333333333333,0.33491074859031283,99.25636005076795,0.2840831500370974,0.44533050568217186,1.4526801184674658,0.7280773305233269,57.424210381794076,9.213942648531885,35.0,24,1.1,1,MEDIUM
38,22.266666666666666,149.6,7.8,0.19929266480775543,152.06802046704362,0.20968338725794033,0.2956817383163263,1.7712079054563685,0.6104160689163035,55.54379776763198,10.484455614089342,39.0,15,1.1267123287671232,1,MEDIUM
39,20.4,449.6,9.8,0.1920091114998896,275.33870091896404,0.0821150097465887,0.3939144242732528,1.5102426777726798,0.5478074480276167,82.9077264957265,14.492910144082327,36.0,10,0.8378378378378379,1,MEDIUM
40,21.0,2200.5,12.0,0.5359625668449198,1313.1375,0.0125,0.5348481477586221,1.6492123463477024,0.9096038490614778,26.999786324786324,26.870057685088806,40.0,2,1.0,1,MEDIUM
41,19.6,242.0,7.3,0.1986770584455121,246.28868509731888,0.1391694959057388,0.5175711864475079,1.2738363364594922,0.800437194973119,41.809313221500716,9.709102258533827,33.0,10,2.0153846153846153,2,HIGH
42,12.75,138.5,5.75,0.37622276897490725,126.89698879551821,0.16365546218487395,0.4650439175341171,1.2800770437192475,0.8044951828111597,86.0544471153846,4.193248541803041,17.0,4,0.8888888888888888,1,MEDIUM
43,30.666666666666668,2149.0,10.333333333333334,0.5189832432507424,395.87293992557153,0.17862838915470491,0.2690282920444416,1.8619376835340686,0.7138666228555687,34.80181051587302,27.574142476844738,57.0,3,1.0,2,HIGH
44,17.0,906.75,10.5,0.46875167964863673,350.17082542694493,0.025,0.345210549453432,1.8178503116731233,0.8713661556691052,48.92867476851851,9.899494936611665,31.0,4,1.5185185185185186,2,HIGH
45,13.0,1300.0,7.0,0.2664378470106947,156.75864661654134,0.18496240601503758,0.5032383087128691,1.3064011063323164,0.9284959725722379,91.7579358974359,7.3824115301167,21.0,5,0.5714285714285714,1,MEDIUM
46,26.0,3130.0,16.5,0.11516071880536573,363.8484848484849,0.1507177033492823,0.40041789531110805,2.0441990645882546,0.9218426645136742,25.11287615740741,9.899494936611665,33.0,2,1.0,1,MEDIUM
47,14.0,458.0,9.0,0.5205282802182026,885.7420178799489,0.10600255427841636,0.38959613719915637,1.7690679035128756,0.7204589342207979,38.08120370370371,15.132745950421556,31.0,3,1.0,1,MEDIUM
48,23.5,1165.5,10.5,0.009854771784232365,301.42857142857144,0.15357142857142858,0.6493531398329953,1.2694562160052665,0.8950092504094215,20.778587344028523,16.263455967290593,35.0,2,1.0,1,MEDIUM
49,40.0,926.5,13.5,0.19900497512437812,304.21677559912854,0.1437908496732026,0.4926569980287243,1.6144611976756376,0.6064608824619948,21.004967948717947,18.384776310850235,53.0,2,1.0,2,HIGH
